author,avg_rating,genres,language,num_pages,num_ratings,num_reviews,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5,title
Alice Sebold,3.77,"Biography, Memoir, Autobiography, Nonfiction",English,243.0,86392,4133,$13.43,2002-09-16 00:00:00,1602,5908,24261,33211,21410,Lucky
Trenton Lee Stewart,4.21,"Mystery, Fiction, Young Adult, Childrens, Middle Grade, Adventure",English,440.0,38666,2335,$8.28,2008-05-01 00:00:00,273,977,6192,14218,17006,The Mysterious Benedict Society and the Perilous Journey
Amish Tripathi,4.05,"India, Fiction, Historical Fiction, Fantasy, Amish, Mythology, Cultural, Historical, Novels, Asian Literature, Indian Literature, Adventure",English,436.0,85265,4698,$2.69,2010-04-01 00:00:00,1389,3376,14769,35787,29944,The Immortals of Meluha
Alexandre Dumas fils,3.98,"Romance, France, Fiction, European Literature, Cultural, French Literature, Classics",English,256.0,27450,1464,$17.99,2000-03-30 00:00:00,339,1435,6260,9748,9668,La Dame aux Camélias
Neal Shusterman,4.25,"Young Adult, Dystopia, Science Fiction",English,416.0,43776,4142,$8.39,2012-08-28 00:00:00,447,1032,5884,16189,20224,UnWholly
Andrzej Sapkowski,4.2,"Fantasy, Short Stories, Fiction, High Fantasy",English,384.0,86073,5158,$18.91,2007-06-07 00:00:00,728,2412,12819,32787,37327,The Last Wish
Thomas More,3.52,"Fiction, Politics, Literature, Philosophy, Classics",English,135.0,52740,2404,$1.28 to $12.84,2003-05-06 00:00:00,1407,5950,18582,17178,9623,Utopia
Gillian Flynn,4.06,"Crime, Mystery, Thriller, Fiction",English,560.0,1950490,127320,$7.00,2014-08-26 00:00:00,47166,93162,323861,722297,764004,Gone Girl
Sabahattin Ali,4.45,"Fiction, Classics, Cultural, Turkish Literature, Asian Literature, Turkish",Turkish,160.0,30911,2033,$9.04,1998-02-26 00:00:00,194,606,2781,8799,18531,Kürk Mantolu Madonna
Don DeLillo,3.92,"Fiction, Literature, Literary Fiction, Novels, American",English,827.0,24599,1769,$29.95,1999-04-26 00:00:00,906,1844,4685,8120,9044,Underworld
MaryJanice Davidson,3.82,"Romance, Womens Fiction, Chick Lit, Fantasy, Paranormal, Urban Fantasy, Vampires, Paranormal Romance",English,255.0,50118,2636,$4.16,2004-03-02 00:00:00,1578,3681,12716,16475,15668,Undead and Unwed
Renée Ahdieh,4.16,"Fantasy, Retellings, Romance, Young Adult",English,404.0,90070,14728,$7.88,2015-05-12 00:00:00,1960,4030,12725,30349,41006,The Wrath and the Dawn
Robert Jordan,4.51,"Fantasy, Epic Fantasy, Fiction, High Fantasy",English,909.0,93748,5409,$6.43,2013-01-08 00:00:00,821,1573,7298,23179,60877,A Memory of Light
Marilynne Robinson,3.82,"Fiction, Literature, Literary Fiction, Novels, Classics",English,219.0,35692,4685,$12.00,2004-11-01 00:00:00,1094,3274,8204,11581,11539,Housekeeping
Jeanette Winterson,4.11,"GLBT, Fiction, Historical Fiction, Fantasy, Historical, LGBT, Queer, Magical Realism",English,176.0,16918,1215,$4.99,1997-08-07 00:00:00,201,730,2963,6086,6938,The Passion
Terry Pratchett,4.22,"Fantasy, Humor, Fiction",English,374.0,63927,1679,$9.88,2002-07-30 00:00:00,195,1288,10533,23865,28046,Witches Abroad
Anne Rice,3.75,"Fiction, Fantasy, Paranormal, Horror, Vampires",Spanish,383.0,39461,737,$19.99,2001-05-26 00:00:00,853,3550,11539,12204,11315,Pandora
Leon Uris,4.24,"Ireland, Fiction, Historical Fiction, European Literature, Irish Literature, Cultural, Historical",,912.0,18647,951,$0.99,2006-07-25 00:00:00,134,477,2804,6533,8699,Trinity
Hiromu Arakawa,4.49,"Graphic Novels, Fiction, Fantasy, Comics, Manga, Sequential Art",English,192.0,104541,1413,$27.50,2005-05-03 00:00:00,1115,1953,9442,23762,68269,"Fullmetal Alchemist, Vol. 1"
Guy Gavriel Kay,4.28,"Fiction, Historical Fiction, Fantasy, Historical, Historical Fantasy",English,528.0,17443,1140,$12.02,2005-06-28 00:00:00,183,518,2294,5737,8711,The Lions of Al-Rassan
Jeaniene Frost,4.25,"Romance, Fantasy, Paranormal, Urban Fantasy, Vampires, Paranormal Romance",English,358.0,40970,2085,$16.33,2011-08-30 00:00:00,190,1041,6256,14513,18970,One Grave at a Time
Brent Weeks,4.24,"Fantasy, Epic Fantasy, Fiction, High Fantasy",English,629.0,81160,3835,$6.84,2010-08-25 00:00:00,1066,2513,10058,29768,37755,The Black Prism
T.S. Eliot,4.32,"Literature, Poetry, Fiction, Classics",English,44.0,17825,262,$3.95,1976-04-26 00:00:00,225,582,2229,5035,9754,The Love Song of J. Alfred Prufrock and Other Poems
Margaret Weis,3.99,"Fiction, High Fantasy, Fantasy, Dungeons and Dragons, Dragons, Dragonlance",English,444.0,99967,1878,$46.41,2000-02-01 00:00:00,3870,5256,18885,31703,40253,Dragons of Autumn Twilight
Mira Grant,3.86,"Fiction, Dystopia, Science Fiction, Zombies, Horror",English,599.0,47743,5804,$124.98,2010-05-01 00:00:00,2110,3776,9565,15750,16542,Feed
Anonymous,4.58,"Reference, Christianity, Theology, Nonfiction, Spirituality, History, Philosophy, Religion, Classics, Christian",English,953.0,4394,319,$24.99,1995-01-28 00:00:00,159,114,223,415,3483,"The Holy Bible: New American Standard Version, NASB"
Beth Revis,4.03,"Young Adult, Romance, Dystopia, Science Fiction",English,386.0,49939,3970,$2.18,2012-01-10 00:00:00,1048,2346,9728,17969,18848,A Million Suns
Stephanie Garber,3.95,"Fantasy, Romance, Young Adult",English,407.0,92684,16791,$66.70,2017-01-31 00:00:00,2358,6562,18375,31758,33631,Caraval
Lynne Reid Banks,3.9,"Chapter Books, Fiction, Fantasy, Young Adult, Childrens, Academic, School, Middle Grade, Juvenile, Classics, Adventure",English,192.0,89414,2092,$9.51,2003-04-26 00:00:00,1614,4950,22794,31145,28911,The Indian in the Cupboard
Susan Cooper,4.28,"Fantasy, Fiction, Childrens, Young Adult",English,1148.0,14548,676,$6.97,1986-01-01 00:00:00,189,446,1927,4460,7526,The Dark Is Rising Sequence
Lindsay Anne Kendal,4.02,"Romance, Young Adult, Fantasy, Paranormal, Angels, Witches, Horror, Vampires, Demons, Paranormal Romance",English,300.0,268,12,$1.36 to $10.33,2013-05-15 00:00:00,13,16,46,71,122,Revelations
John Steinbeck,3.83,"Literature, Classics, Fiction",English,256.0,39297,2091,$39.99,2001-07-26 00:00:00,503,2332,10831,15374,10257,Tortilla Flat
Lindsay Anne Kendal,3.96,"Romance, Fantasy, Young Adult, Paranormal, Witches, Angels, Horror, Vampires, Demons, Paranormal Romance",English,308.0,333,33,$183.86,2011-11-01 00:00:00,19,20,56,97,141,Torment
Arkady Strugatsky,4.18,"Fiction, Russia, Science Fiction, Cultural, Classics",English,145.0,32349,2115,$10.28,2000-08-24 00:00:00,258,1086,5163,11752,14090,Roadside Picnic
Christine M. Knight,4.14,"Horror, Fiction",English,482.0,92,64,$288.00,2013-01-14 00:00:00,2,8,15,17,50,In and Out of Step
Crockett Johnson,4.25,"Picture Books, Childrens Classics, Fiction, Fantasy, Young Adult, Childrens, Kids, Juvenile, Classics, Adventure",English,64.0,116050,1858,$54.18,1996-04-26 00:00:00,2036,4444,18083,29844,61643,Harold and the Purple Crayon
Jennifer E. Smith,3.79,"Young Adult, Fiction, Romance, Contemporary",English,236.0,102737,10058,$64.66,2012-01-02 00:00:00,2816,8095,27447,34276,30103,The Statistical Probability of Love at First Sight
Ransom Riggs,4.08,"Fantasy, Fiction, Young Adult",English,400.0,165168,16133,$9.99,2014-01-14 00:00:00,1190,5732,31756,67261,59229,Hollow City
Gabrielle Zevin,3.92,"Romance, Fiction, Young Adult, Fantasy, Death",English,277.0,46296,5034,$3.81,2007-05-15 00:00:00,999,3214,10459,15594,16030,Elsewhere
Terry Pratchett,4.27,"Mystery, Science Fiction Fantasy, Comedy, Humor, Fiction, Fantasy, Funny, Science Fiction, European Literature, British Literature, Audiobook",English,464.0,53872,1221,$7.71,2008-11-06 00:00:00,109,760,7880,20903,24220,The Fifth Elephant
Lisa Renee Jones,4.11,"Romance, Romantic Suspense, Contemporary, Suspense, Contemporary Romance",English,384.0,2016,295,$32.00,2015-08-18 00:00:00,37,82,343,710,844,Forsaken
Jean Webster,4.12,"Romance, Fiction, Historical Fiction, Young Adult, Historical, Classics",English,249.0,35394,3641,$109.99,1912-04-26 00:00:00,452,1278,6501,12570,14593,Daddy-Long-Legs
Doris Kearns Goodwin,4.28,"Military History, Nonfiction, Politics, History, Civil War, Biography, American History, North American Hi...",English,916.0,130787,6519,$4.90,2006-09-26 00:00:00,4451,4119,13440,36672,72105,Team of Rivals: The Political Genius of Abraham Lincoln
Forrest Carter,4.1,"Fiction, Historical Fiction, Young Adult, Historical, Classics",English,228.0,13271,1514,$14.99,2001-08-31 00:00:00,274,600,2243,4537,5617,The Education of Little Tree
Judith McNaught,4.18,"Romance, Fiction, Historical Fiction, Regency, Historical, Historical Romance",English,708.0,27873,1824,$6.44,2006-04-25 00:00:00,812,1221,3987,8009,13844,"Whitney, My Love"
Henry James,3.67,"Fiction, Literature, 19th Century, Classics, American",English,240.0,16396,1232,$119.98,2004-04-06 00:00:00,388,1356,4913,6291,3448,Washington Square
