title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Tess of the D'Urbervilles,3.79,"Fiction, Classics, Literature, Romance",Thomas Hardy,518,"$1,400.00",1/30/2003,9157,17853,49807,73733,66917
The Moonstone,3.91,"Mystery, Fiction, Historical Fiction, Mystery Thriller, Literature, European Literature, Thriller, British Literature, Historical, Victorian, 19th Century, Classics, Crime",Wilkie Collins,528,$14.52,9/11/2001,1421,3767,15374,25637,20884
Portnoy's Complaint,3.7,"Fiction, Literature, Novels, Classics, American",Philip Roth,274,$2.13,5/18/1995,1820,4543,13221,17915,12747
Origin,4.42,"Paranormal, Romance, Science Fiction, Young Adult, Aliens, Fantasy",Jennifer L. Armentrout,374,$9.38 to $23.06,8/27/2013,574,1636,7977,21919,45171
A Knight in Shining Armor,4.23,"Romance, Fiction, Historical Fiction, Science Fiction, Historical, Time Travel, Historical Romance",Jude Deveraux,464,$27.73,12/1/2002,583,1207,4613,9010,15805
Dance with the Devil,4.39,"Romance, Fantasy, Paranormal, Vampires, Paranormal Romance",Sherrilyn Kenyon,343,$11.86,11/28/2003,235,956,6640,17777,31754
Easy,4.1,"New Adult, Academic, Contemporary, Romance, Contemporary Romance, College, Young Adult",Tammara Webber,336,$2.84 to $9.49,11/6/2012,5240,9210,33840,68160,87571
Masquerade,3.92,"Romance, Fiction, Young Adult, Fantasy, Paranormal, Angels, Urban Fantasy, Supernatural, Vampires, Paranormal Romance",Melissa de la Cruz,307,$1.21,5/1/2007,1525,5452,20347,25973,28966
Othello,3.88,"Tragedy, Academic, School, Classics, Drama, Plays, Fiction, Literature, Poetry, Read For School, Theatre",William Shakespeare,314,$13.80,1/1/2004,4663,17852,70500,102109,87471
The Young Elites,3.91,"Fantasy, Dystopia, Science Fiction, Young Adult",Marie Lu,355,$9.12,10/7/2014,2177,5716,19765,33536,29676
Man's Search for Meaning,4.35,"Nonfiction, Memoir, Biography, Psychology, History, Autobiography, Philosophy",Viktor E. Frankl,165,$1.49,6/1/2006,3158,6572,31868,83975,153029
A Storm of Swords,4.54,"Epic Fantasy, Epic, Adult, Audiobook, High Fantasy, Dragons, Fiction, Science Fiction Fantasy, Adventure, Fantasy",George R.R. Martin,1177,$5.60,3/4/2003,1687,5363,40664,167212,381062
Paradise Lost,3.81,"Religion, Classics, Fiction, Literature, Poetry",John Milton,453,$6.44,2/27/2003,4411,9906,27625,36578,38243
Wings,3.75,"Paranormal, Fairies, Romance, Young Adult, Fantasy",Aprilynne Pike,290,$6.95,5/5/2009,2995,6390,17334,20636,21936
The Art of War,3.97,"Nonfiction, War, Classics, History, Philosophy",Sun Tzu,273,$24.99,1/11/2005,3873,14597,61116,90872,93351
