title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Confessions,3.91,"Theology, Nonfiction, Philosophy, Religion, Classics",Augustine of Hippo,341,$33.99,6/25/1998,1379,2874,8425,12399,14633
Out of Africa,3.96,"Nonfiction, Autobiography, Biography, Cultural, Africa, Memoir, Classics",Isak Dinesen,399,$28.01,4/26/1992,571,1714,6428,11090,10323
London,4.07,"Historical, Fiction, Historical Fiction",Edward Rutherfurd,1152,$1.25 to $1.79,10/29/2002,333,975,4417,9206,9018
Clockwork Angel,4.33,"Paranormal, Romance, Steampunk, Science Fiction, Young Adult, Fantasy",Cassandra Clare,481,$3.99,8/31/2010,9405,17521,69304,160508,328343
Going Postal,4.38,"Fantasy, Humor, Fiction",Terry Pratchett,394,$69.74,9/27/2005,383,1188,10058,32373,48247
A Brief History of Time,4.16,"History, Science, Nonfiction, Physics",Stephen Hawking,212,$19.99,9/1/1998,3381,7312,37248,89499,99648
The Awakening,4.16,"Urban Fantasy, Paranormal, Young Adult, Supernatural, Fantasy",Kelley Armstrong,360,$5.60,4/28/2009,1192,3942,18517,32881,45892
The Awakening,3.64,"Academic, School, Classics, Feminism, Fiction, Literature",Kate Chopin,195,$5.60,4/26/2006,8294,16444,39992,50502,41642
Demons,4.26,"Fiction, Russia, Literature, Cultural, Russian Literature, Classics",Fyodor Dostoyevsky,733,$24.90,8/1/1995,389,1027,4469,10297,16164
The End of the Affair,3.95,"Romance, Audiobook, Classics, Fiction",Graham Greene,160,$8.59,10/7/2004,603,2362,9301,16385,13590
Love Story,3.61,"Womens Fiction, Classics, Chick Lit, Romance, Fiction",Erich Segal,224,$22.23,5/29/2012,1932,5652,13977,15173,12098
Jaws,3.97,"Fiction, Thriller, Horror, Classics, Adventure",Peter Benchley,320,$24.99,5/31/2005,2202,6764,28004,41016,44103
The Giver,4.12,"Dystopia, Classics, Fiction, Science Fiction, Young Adult",Lois Lowry,208,$3.99,1/24/2006,29278,66449,252365,507446,662031
Wives and Daughters,4.09,"Romance, Fiction, Historical Fiction, Literature, Historical, 19th Century, Classics",Elizabeth Gaskell,679,$10.17,5/30/1996,608,1440,7044,14730,15217
Child 44,4.09,"Mystery, Fiction, Historical Fiction, Russia, Thriller, Historical, Cultural, Crime",Tom Rob Smith,509,$90.00,4/1/2009,812,2150,10631,27485,23414
Silence,4.14,"Paranormal, Romance, Young Adult, Angels, Fantasy",Becca Fitzpatrick,448,$14.02,10/4/2011,5476,11402,37919,63836,108721
Fight Club,4.2,"Fiction, Classics, Contemporary, Thriller",Chuck Palahniuk,218,$4.87,10/17/2005,5200,14376,65134,156348,195194
The Lords of Discipline,4.3,"Fiction, Historical Fiction, Southern, Historical, Military Fiction, War, American",Pat Conroy,512,$10.78,2/24/1997,114,426,2929,8766,11007
All Quiet on the Western Front,3.95,"Historical Fiction, Historical, Classics, Fiction, War",Erich Maria Remarque,296,$21.83,3/12/1987,9418,20238,64246,108393,117907
Heart of Darkness and The Secret Sharer,3.49,"Fiction, Academic, Literature, School, Classics",Joseph Conrad,176,$7.48,9/1/1997,1139,1958,4316,4772,3636
Johnny Got His Gun,4.17,"Horror, Historical Fiction, Historical, Classics, Fiction, Literature, War",Dalton Trumbo,309,$19.05,8/1/2000,548,1202,4877,10456,14223
Disgrace,3.84,"Africa, Southern Africa, Cultural, South Africa, Fiction, Literature, Novels",J.M. Coetzee,220,$15.48,8/30/2005,1610,4974,17179,29482,20205
The Maltese Falcon,3.91,"Mystery, Classics, Fiction, Crime, Noir",Dashiell Hammett,213,$2.99,3/1/2005,1285,4182,18083,28983,23768
Small Gods,4.29,"Humor, Comedy, Fiction, Science Fiction Fantasy, Fantasy",Terry Pratchett,400,$11.66,8/1/2005,355,1814,13098,31919,44189
The Grand Delusion,4.14,"Mystery, Psychology, Fiction",Heath Sommer,410,$28.40,10/28/2010,5,10,26,35,83
Circus of the Damned,4.16,"Romance, Fantasy, Paranormal, Urban Fantasy, Horror, Vampires",Laurell K. Hamilton,320,$20.59,1/2/2007,804,2625,15240,28803,36808
Where She Went,4.04,"Realistic Fiction, Contemporary, Romance, Fiction, Young Adult",Gayle Forman,264,$97.78,4/5/2011,3370,12313,48417,84062,91855
Stormbreaker,3.98,"Young Adult, Fiction, Mystery, Adventure",Anthony Horowitz,256,$289.00,4/12/2004,1124,4223,17893,28741,27987
Revelations,4.02,"Romance, Young Adult, Fantasy, Paranormal, Angels, Witches, Horror, Vampires, Demons, Paranormal Romance",Lindsay Anne Kendal,300,$1.36 to $10.33,5/15/2013,13,16,46,71,122
Revelations,3.9,"Young Adult, Vampires, Paranormal, Fantasy",Melissa de la Cruz,264,$1.36 to $10.33,10/31/2008,1503,4901,18414,21929,25574
The Complete Anne of Green Gables Boxed Set,4.43,"Fiction, Historical Fiction, Young Adult, Childrens, Historical, Classics",L.M. Montgomery,2088,$102.17,10/6/1998,1488,2057,9456,24052,59183
Childhood's End,4.11,"Science Fiction, Classics, Fiction",Arthur C. Clarke,224,$154.95,5/12/1987,1061,4044,20735,42838,44033
The Curse of Chalion,4.16,"Fantasy, Epic Fantasy, Fiction, High Fantasy",Lois McMaster Bujold,490,$245.96,2/3/2003,390,982,4310,10348,12015
Captive in the Dark,3.99,"Adult Fiction, Romance, Abuse, Contemporary, Erotic Romance, Adult, BDSM, Dark, Sociology, New Adult, Erotica, Contemporary Romance",C.J. Roberts,276,$6.45,7/20/2011,3069,3839,10497,19547,26821
Helter Skelter: The True Story of the Manson Murders,4.02,"Horror, Nonfiction, Mystery, Crime, History, True Crime",Vincent Bugliosi,689,$14.14,12/17/2001,1452,4585,23652,40624,39699
Bared to You,4.19,"Erotica, Contemporary, Adult, Romance, Contemporary Romance, Adult Fiction",Sylvia Day,334,$5.60,2/4/2014,11127,20971,60745,113115,214552
Vicious,4.26,"Fantasy, Adult, Science Fiction, Fiction",V.E. Schwab,368,$28.01,9/24/2013,488,1711,8185,21915,29284
Another Roadside Attraction,3.98,"Novels, Humor, Literature, Fiction",Tom Robbins,366,$23.95,1/10/2004,324,1389,6778,11359,9950
Fall of Giants,4.28,"Historical, Fiction, Historical Fiction",Ken Follett,985,$16.08,9/28/2010,2436,5933,28497,80117,111770
Strange Angels,3.78,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Vampires",Lili St. Crow,293,$22.00 to $27.00,5/14/2009,1797,3414,8736,10859,12842
The Prince and the Pauper,3.85,"Fiction, Historical Fiction, Literature, Historical, Classics",Mark Twain,240,$2.77,5/1/2002,1188,5450,28464,37089,27825
The Book of Disquiet,4.47,"Fiction, Literature, Philosophy, Classics, Cultural, Poetry, Portugal",Fernando Pessoa,544,$5.23,12/31/2002,198,447,1416,4018,11015
Wolf Hall,3.86,"Historical, Fiction, Historical Fiction",Hilary Mantel,653,$17.18,4/26/2010,7581,11316,24362,42348,50545
Shadowfever,4.41,"Paranormal Romance, Urban Fantasy, Paranormal, Fairies, Romance, Fae, Fantasy",Karen Marie Moning,608,$10.53,1/18/2011,1853,2243,8242,22964,56287
Silver Borne,4.38,"Romance, Werewolves, Fantasy, Paranormal, Urban Fantasy, Vampires, Shapeshifters, Paranormal Romance",Patricia Briggs,342,$20.26,3/30/2010,202,941,9337,30844,45041
Cane River,4.05,"Historical, Fiction, Historical Fiction",Lalita Tademy,522,$1.99,4/1/2002,460,1639,8890,16975,15899
Words of Radiance,4.77,"Fiction, Epic Fantasy, High Fantasy, Fantasy",Brandon Sanderson,1087,$75.01,3/4/2014,212,562,3843,26443,125113
Americanah,4.3,"Contemporary, Fiction, Literary Fiction, Cultural, Feminism, Africa",Chimamanda Ngozi Adichie,477,$9.14,5/14/2013,2029,4632,22038,70680,94865
The Day of the Triffids,4.01,"Fiction, Apocalyptic, Science Fiction, Post Apocalyptic, Horror, Classics",John Wyndham,228,$699.99,7/1/2003,824,3141,16662,31222,26194
White Noise,3.86,"Classics, American, Fiction, Literature, Novels",Don DeLillo,320,$14.06,6/1/1999,2128,5996,17314,28515,24881
The High Lord,4.16,"Magic, Fiction, Fantasy, Young Adult, High Fantasy",Trudi Canavan,647,$5.16,11/4/2004,382,1522,7392,16220,18412
The Blue Sword,4.23,"Romance, Fiction, Fantasy, Young Adult, Adventure",Robin McKinley,256,$63.93,3/15/1987,878,1842,7623,14855,25856
Fantastic Beasts and Where to Find Them,3.99,"Fantasy, Magic, Fiction, Young Adult",Newt Scamander,128,$29.99 to $53.99,6/1/2001,3833,16041,65153,83504,106224
Quidditch Through the Ages,3.86,"Fantasy, Fiction, Childrens, Young Adult",Kennilworthy Whisp,64,$6.45,6/1/2001,1495,8918,34378,37561,39826
The Dark Is Rising Sequence,4.28,"Fantasy, Fiction, Childrens, Young Adult",Susan Cooper,1148,$6.97,1/1/1986,189,446,1927,4460,7526
The Drawing of the Three,4.23,"Fiction, Science Fiction, Horror, Fantasy",Stephen King,463,$20.00,8/5/2003,1264,5030,27159,71365,84453
Lola and the Boy Next Door,3.98,"Romance, Womens Fiction, Contemporary, Young Adult, Chick Lit",Stephanie Perkins,384,$7.83,9/29/2011,3203,7386,28124,48404,49463
Island,3.85,"Fiction, Dystopia, Science Fiction, Philosophy, Classics",Aldous Huxley,354,$22.18,7/30/2002,587,1719,4689,6772,6860
Grave Mercy,3.91,"Romance, Historical Fiction, Fantasy, Young Adult, Historical",Robin LaFevers,549,$9.10,4/3/2012,2616,5202,18089,31061,28816
Anna and the French Kiss,4.03,"Contemporary, Womens Fiction, Chick Lit, Romance, Young Adult",Stephanie Perkins,372,$9.13,12/2/2010,14341,18942,55444,97119,146033
Pushing the Limits,4.07,"Romance, Contemporary, Fiction, Young Adult, Young Adult Contemporary, Realistic Fiction, Young Adult Romance, High School, New Adult, Contemporary Romance",Katie McGarry,392,$10.71,7/31/2012,2731,5061,19010,35967,45263
Twenty Love Poems and a Song of Despair,4.31,"European Literature, Spanish Literature, Classics, Romance, Poetry",Pablo Neruda,70,$6.12,12/26/2006,603,1242,5293,13281,22935
The Goddess Test,3.82,"Romance, Young Adult, Fantasy, Paranormal, Mythology",Aimee Carter,293,$7.63,4/19/2011,1930,4238,11647,15746,16730
The Canterbury Tales,3.49,"Academic, Historical Fiction, Historical, School, Classics, Fiction, Short Stories, Literature, Medieval, Poetry, Read For School, Classic Literature",Geoffrey Chaucer,504,$1.28,1/30/2003,7348,20976,57028,53056,33298
The Shell Seekers,4.14,"Historical Fiction, Womens Fiction, Historical, Romance, Chick Lit, Fiction",Rosamunde Pilcher,530,$13.01,4/6/2004,1228,3405,15649,28532,38840
Memnoch the Devil,3.74,"Horror, Paranormal, Vampires, Fiction, Fantasy",Anne Rice,354,$4.99,3/26/1999,2412,7131,19186,20648,22339
The Civil War: A Narrative,4.53,"Military History, Nonfiction, History, Civil War, American History, Military, North American Hi..., War",Shelby Foote,2934,$17.98,5/26/2006,62,145,499,1479,4504
The City of Ember,3.86,"Teen, Post Apocalyptic, Childrens, Dystopia, Middle Grade, Science Fiction, Fiction, Young Adult, Apocalyptic, Adventure, Fantasy",Jeanne DuPrau,270,$8.20,4/26/2003,3974,14181,57046,81698,66266
Born at Midnight,4.13,"Romance, Werewolves, Young Adult, Fantasy, Paranormal, Vampires, Shapeshifters",C.C. Hunter,398,$7.46,3/29/2011,2007,3621,12619,22555,35540
Mort,4.23,"Fiction, Humor, Fantasy",Terry Pratchett,243,$13.60,2/6/2001,1142,3137,25011,64996,73985
The Sisterhood of the Traveling Pants,3.77,"Contemporary, Womens Fiction, Chick Lit, Fiction, Young Adult",Ann Brashares,294,$8.15,9/11/2001,15964,44189,160041,191173,166139
Hunger,4.03,"Young Adult, Dystopia, Science Fiction",Michael  Grant,590,$89.89,5/26/2009,1395,3809,14068,24489,27775
Hunger,4.08,"Scandinavian Literature, Fiction, Literature, European Literature, Novels, Classics",Knut Hamsun,134,$89.89,11/17/2003,525,1642,6093,13099,13650
"Love, Rosie",3.94,"Romance, Womens Fiction, Fiction, Contemporary, Chick Lit",Cecelia Ahern,512,$37.88,12/1/2006,1974,5951,20070,30740,32274
The Magicians,3.5,"Magic, Fiction, Fantasy, Young Adult, Urban Fantasy",Lev Grossman,402,$27.31,8/11/2009,11989,25808,56339,63994,43756
Gone Girl,4.06,"Fiction, Crime, Mystery, Thriller",Gillian Flynn,415,$7.00,4/22/2014,47157,93155,323833,722233,763916
Gone Girl,4.06,"Crime, Mystery, Thriller, Fiction",Gillian Flynn,560,$7.00,8/26/2014,47166,93162,323861,722297,764004
The Blind Assassin,3.95,"Historical Fiction, Mystery, Historical, Cultural, Fiction, Canada",Margaret Atwood,637,$6.52,9/3/2001,2640,6858,25849,47530,41577
The Last Wish,4.2,"Fantasy, Short Stories, Fiction, High Fantasy",Andrzej Sapkowski,384,$18.91,6/7/2007,728,2412,12819,32787,37327
Let the Great World Spin,3.94,"Fiction, Book Club, Historical Fiction, Historical, New York",Colum McCann,351,$5.93,6/23/2009,1726,5194,17595,32926,28208
Beach Music,4.15,"Fiction, Southern, American, Contemporary",Pat Conroy,592,$20.96,3/26/2002,602,1642,6708,13629,17799
The Mountain's Morning Song,4.47,"Fiction, Contemporary, Book Club, Novels, Drama",William Graney,346,"$1,175.15",1/16/2019,0,0,0,149,130
Catching Fire,4.29,"Dystopia, Science Fiction, Fiction, Young Adult, Fantasy",Suzanne Collins,391,$2.00,9/1/2009,12033,53396,290406,756541,1072669
Archer's Voice,4.42,"Romance, New Adult, Contemporary, Contemporary Romance",Mia Sheridan,345,$39.99,1/25/2014,768,1886,7007,18487,43177
Some Girls Bite,4,"Romance, Fantasy, Paranormal, Urban Fantasy, Vampires, Paranormal Romance",Chloe Neill,341,$26.92,4/7/2009,1542,2731,10424,19744,20507
A Confederacy of Dunces,3.89,"Fiction, Humor, Classics, Literature",John Kennedy Toole,416,$12.73,1/26/1994,12284,17067,35664,61205,82795
Ascend,4.08,"Fantasy, Romance, Paranormal, Young Adult",Amanda Hocking,326,$0.99 to $1.89,4/24/2012,992,2860,10632,18649,23942
The House at Pooh Corner,4.36,"Childrens, Classics, Fiction",A.A. Milne,180,$51.63,10/31/1988,722,1493,9674,21448,42116
In Cold Blood,4.07,"Nonfiction, Mystery, Classics, Crime, True Crime",Truman Capote,343,$3.86,4/26/1994,11861,19799,79126,165681,184929
Gandhi: An autobiography,4.07,"India, Nonfiction, History, Autobiography, Philosophy, Biography, Cultural",Mahatma Gandhi,528,$32.98,11/1/1993,878,1848,7334,13448,16454
Tiger's Quest,4.33,"Fantasy, Mythology, Romance, Young Adult",Colleen Houck,479,$13.42,6/7/2011,596,1186,4057,8907,19629
The Blue Castle,4.25,"Romance, Fiction, Historical Fiction, Young Adult, Historical, Classics",L.M. Montgomery,218,$76.96,4/1/1989,287,758,3778,8185,12421
Exotic Neurotic,4.4,"Fiction, Poetry, Contemporary",Kenneth Jarrett Singleton,108,$20.09,2/24/2016,4,3,35,108,187
Old Man's War,4.24,"Space Opera, Science Fiction, Fiction, Space",John Scalzi,351,$9.19,1/15/2007,1101,3331,18143,52582,60029
Night Play,4.36,"Romance, Fantasy, Paranormal, Vampires, Paranormal Romance",Sherrilyn Kenyon,362,$55.00,8/3/2004,254,870,5948,15041,25395
The Elite,4.02,"Dystopia, Romance, Science Fiction, Young Adult, Fantasy",Kiera Cass,336,$19.35,4/23/2013,6015,19331,66174,112438,130631
Needful Things,3.9,"Horror, Thriller, Fiction",Stephen King,790,$8.41,4/26/1992,2503,11008,46747,64512,57890
Along for the Ride,4.07,"Contemporary, Womens Fiction, Chick Lit, Romance, Young Adult",Sarah Dessen,383,$12.95,6/16/2009,3205,8088,34731,58629,72472
Centennial,4.23,"Historical, Westerns, Fiction, Historical Fiction",James A. Michener,1056,$2.93,2/12/1987,248,845,5845,12879,16742
Because of Winn-Dixie,4.03,"Realistic Fiction, Childrens, Middle Grade, Fiction, Young Adult",Kate DiCamillo,182,$5.56,8/6/2001,2292,8841,38685,60388,68420
Crown of Midnight,4.46,"Young Adult, Romance, Fantasy",Sarah J. Maas,418,$5.79,8/27/2013,1587,4050,21822,76251,154000
Utopia,3.52,"Fiction, Politics, Literature, Philosophy, Classics",Thomas More,135,$1.28 to $12.84,5/6/2003,1407,5950,18582,17178,9623
The Lions of Al-Rassan,4.28,"Fiction, Historical Fiction, Fantasy, Historical, Historical Fantasy",Guy Gavriel Kay,528,$12.02,6/28/2005,183,518,2294,5737,8711
Just Listen,4.06,"Fiction, Young Adult, Contemporary, Romance",Sarah Dessen,371,$8.59,4/6/2006,3898,10773,43093,72759,90281
Roots: The Saga of an American Family,4.43,"Fiction, Classics, Historical Fiction, Historical",Alex Haley,729,$20.47,11/1/1977,891,2102,13641,39475,78299
The Things They Carried,4.13,"Historical Fiction, Historical, Classics, Fiction, Short Stories, War",Tim O'Brien,246,$49.00,12/29/1998,3495,9736,36639,79880,94904
Little Women,4.06,"Historical Fiction, Historical, Classics, Fiction, Young Adult",Louisa May Alcott,449,$12.39,4/6/2004,34877,76055,273319,474482,612607
The Day of the Jackal,4.26,"Mystery, Fiction, Thriller, Spy Thriller, Crime, Espionage",Frederick Forsyth,384,$14.82,10/4/1982,602,1935,14027,38243,45841
The Virgin Suicides,3.84,"Fiction, Young Adult, Classics, Contemporary",Jeffrey Eugenides,250,$5.60,4/26/2002,4685,14401,51511,78411,61018
Songs of Innocence and of Experience,4.11,"18th Century, Classics, Fiction, Literature, Poetry",William Blake,56,$14.76,1/1/2005,453,1488,6440,11670,14659
I Capture the Castle,4,"Historical Fiction, Historical, Classics, Romance, Fiction, Young Adult",Dodie Smith,343,$12.99,3/31/1998,1054,3785,15360,28159,26408
Inkheart,3.87,"Fiction, Young Adult, Fantasy",Cornelia Funke,548,$400.00,6/1/2005,8981,24306,76674,107677,110487
The Very Hungry Caterpillar,4.29,"Childrens, Picture Books",Eric Carle,26,$3.99,4/26/1994,7451,13047,47618,80614,194034
Call Me by Your Name,4.28,"Romance, LGBT, Contemporary, Fiction",AndrÃ© Aciman,248,$0.99,1/23/2007,1727,4152,13440,31559,57041
Shantaram,4.27,"Cultural, Travel, Fiction, Adventure, India",Gregory David Roberts,936,$32.75,4/26/2004,2663,5247,16032,40904,71611
Dream Caster,4.15,"Fantasy, Young Adult, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic",N. Nada,362,$11.07,12/19/2012,9,11,24,42,100
Bag of Bones,3.89,"Horror, Thriller, Fiction",Stephen King,736,$17.52,6/26/1999,2741,10267,39371,52736,51038
City of Glass,4.33,"Young Adult, Romance, Paranormal, Fantasy",Cassandra Clare,541,$5.04,3/24/2009,7767,20111,91070,204156,391955
Tell No One,4.11,"Mystery, Fiction, Mystery Thriller, Thriller, Suspense, Crime",Harlan Coben,370,$4.86,8/25/2009,837,3005,17777,40400,37638
Treasure Island,3.83,"Fiction, Young Adult, Classics, Adventure",Robert Louis Stevenson,311,$12.89,9/15/2001,6272,21564,96720,130598,97953
The Scopas Factor,4.27,"Novels, Drama, Contemporary, Fiction",Vincent Panettiere,326,$7.90,11/5/2018,8,16,95,448,413
The Iron Queen,4.24,"Paranormal, Fairies, Romance, Young Adult, Fantasy",Julie Kagawa,384,$15.42,1/25/2011,1284,3012,13630,27560,44807
Under the Volcano,3.79,"Novels, Literature, Classics, Fiction",Malcolm Lowry,397,$34.45,4/26/2000,895,1960,4351,6077,6811
Warbreaker,4.25,"Fantasy, Epic Fantasy, Fiction, High Fantasy",Brandon Sanderson,688,$9.59,4/26/2009,380,1596,11861,35379,38350
Xenocide,3.79,"Fantasy, Science Fiction Fantasy, Science Fiction, Fiction",Orson Scott Card,592,"$1,090.00",7/15/1996,1994,9068,36126,47736,32882
A Passage to India,3.68,"Historical Fiction, Historical, Cultural, Classics, Fiction, Literature, India",E.M. Forster,376,$2.98,8/30/2005,1841,5452,17273,22532,14019
Light in August,3.94,"Fiction, Classics, Literature, American",William Faulkner,507,"$1,000.00",1/30/1991,1345,3099,9862,17342,17168
An American Tragedy,3.94,"Literature, Classics, Fiction",Theodore Dreiser,859,"$2,200.00",9/1/2000,811,1837,6200,10101,10643
The Master and Margarita,4.31,"Russia, Historical Fiction, Historical, 20th Century, Cultural, Classics, Russian Literature, Fiction, Literature, Novels, Magical Realism, Fantasy",Mikhail Bulgakov,335,$20.99,3/26/1996,3249,7419,24138,53151,110200
Replay,4.16,"Fantasy, Time Travel, Science Fiction, Fiction",Ken Grimwood,311,$12.89,7/22/1998,269,913,4006,9241,10586
Lover Enshrined,4.13,"Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",J.R. Ward,534,$12.49,6/3/2008,1208,4907,18875,29668,44861
The Diviners,3.97,"Mystery, Historical Fiction, Young Adult, Fantasy, Paranormal, Historical",Libba Bray,578,$11.75,9/18/2012,1710,3234,11153,22923,21185
The Secret Magdalene,4.1,"Fiction, Religion, Historical Fiction, Historical",Ki Longfellow,448,$7.50,3/27/2007,209,262,507,846,2024
"A Child Called ""It""",4.1,"Nonfiction, Memoir, Biography, Psychology, Autobiography",Dave Pelzer,184,$2.99,9/1/1995,8256,17345,60755,106564,154599
Fall on Your Knees,3.96,"Historical Fiction, Historical, Cultural, Fiction, Canada",Ann-Marie MacDonald,672,$3.86,10/29/2002,1644,3550,11853,19926,21323
The Tipping Point: How Little Things Can Make a Big Difference,3.95,"Nonfiction, Economics, Self Help, Philosophy, Leadership, Business, Science, Sociology, Audiobook, Psychology",Malcolm Gladwell,301,$5.60,1/7/2002,17876,29761,122083,223122,205917
The Long Walk,4.11,"Horror, Science Fiction, Fiction, Thriller, Dystopia",Richard Bachman,370,$49.19,4/1/1999,992,3948,17658,34208,38950
High Fidelity,3.94,"Humor, Contemporary, Romance, Fiction, Music",Nick Hornby,340,$13.50,5/5/2005,1781,7556,36833,67659,47548
Metamorphoses,4.05,"Fiction, Fantasy, Classics, Mythology, Poetry",Ovid,723,$130.00,8/3/2004,754,2408,11031,18521,20581
Gaudy Night,4.24,"Romance, Mystery, Fiction, Classics, Crime",Dorothy L. Sayers,501,$34.04,3/16/1995,271,723,2973,6672,10122
Brida,3.47,"Fantasy, Novels, Philosophy, Fiction",Paulo Coelho,264,$23.05,4/26/2006,3250,8431,18954,16692,13449
The Physician,4.37,"Historical, Fiction, Historical Fiction",Noah Gordon,720,$142.41,7/1/2001,231,710,3429,10655,17485
Ghost Story,3.95,"Mystery, Ghost Stories, Fiction, Fantasy, Paranormal, Thriller, Ghosts, Suspense, Supernatural, Horror",Peter Straub,567,$7.40,9/1/1989,1435,3725,13539,21655,22251
Heir of Fire,4.51,"Young Adult, Romance, Fantasy",Sarah J. Maas,565,$33.75,9/2/2014,1174,3138,16393,55030,132003
Junky,3.85,"Literature, Classics, Fiction",William S. Burroughs,208,$185.25,4/1/2003,791,2973,12712,19271,13486
Yertle the Turtle and Other Stories,4.15,"Childrens, Picture Books, Fiction",Dr. Seuss,96,$13.99,4/12/1958,499,1228,5999,8776,14568
Perfume: The Story of a Murderer,4.02,"Horror, Historical Fiction, Mystery, Historical, European Literature, German Literature, Classics, Fiction, Crime, Thriller, Novels",Patrick SÃ_skind,263,$20.01,4/26/1987,6631,15088,49318,95258,104261
Tao Te Ching,4.32,"Religion, Self Help, Nonfiction, Spirituality, Eastern Philosophy, Cultural, Taoism, Classics, Poetry, Philosophy, China",Lao Tzu,160,$48.65,8/28/1989,1152,2786,12628,26502,51450
Unwind,4.18,"Science Fiction, Young Adult, Dystopia, Fiction",Neal Shusterman,335,$1.11,11/6/2007,3441,6735,25092,57194,80873
Caraval,3.95,"Fantasy, Romance, Young Adult",Stephanie Garber,407,$66.70,1/31/2017,2358,6562,18375,31758,33631
Firelight,3.87,"Romance, Fantasy, Young Adult, Paranormal, Dragons",Sophie Jordan,323,$19.99,9/7/2010,1760,4468,13142,17923,20098
Champion,4.36,"Science Fiction, Dystopia, Young Adult, Romance",Marie Lu,369,$38.71,11/5/2013,1283,3514,17049,44656,80907
Royal Assassin,4.23,"Fantasy, Epic Fantasy, Fiction, High Fantasy",Robin Hobb,752,$5.50,3/26/1997,1155,3625,18224,47808,58068
Foucault's Pendulum,3.9,"Mystery, Historical Fiction, Historical, Classics, Fiction, Literature",Umberto Eco,623,$9.79,3/5/2007,1812,3948,11369,18184,19053
Three Men in a Boat,3.89,"Travel, Comedy, Humor, Fiction, Literature, Funny, European Literature, British Literature, 19th Century, Classics, Adventure",Jerome K. Jerome,185,$53.64,10/1/1994,1102,3189,11047,16575,15688
The Silence of the Lambs,4.17,"Horror, Mystery, Fiction, Crime, Thriller",Thomas  Harris,338,$9.98,4/26/2002,10497,13334,58468,135506,187097
Brisingr,4.05,"Fiction, Young Adult, Dragons, Fantasy",Christopher Paolini,748,$89.73,9/20/2008,4671,14395,49130,85481,104449
The Earthsea Trilogy,4.26,"Science Fiction Fantasy, Fiction, Fantasy, Young Adult, Science Fiction, Classics",Ursula K. Le Guin,478,$9.03,4/26/1979,181,459,2392,5737,8185
Gathering Blue,3.81,"Fiction, Young Adult, Dystopia, Childrens, Science Fiction, Middle Grade",Lois Lowry,240,$3.70,9/25/2000,1688,8857,40536,55645,36319
The Thirteenth Tale,3.96,"Mystery, Historical Fiction, Historical, Books About Books, Fiction, Gothic, Writing",Diane Setterfield,406,$22.55,9/12/2006,4898,13819,53111,93317,84230
Killing Floor,4.05,"Mystery, Fiction, Thriller, Suspense, Crime",Lee Child,424,$199.95,4/25/2006,3167,8406,41081,83816,77626
Neuromancer,3.89,"Science Fiction, Fiction, Cyberpunk",William Gibson,271,$79.99,7/1/1984,10078,16811,45860,75214,84148
Wizard's First Rule,4.14,"Fiction, Epic Fantasy, Fantasy",Terry Goodkind,836,$6.98,4/14/2003,6986,10430,30344,62085,100817
The Tales of Beedle the Bard,4.08,"Fiction, Young Adult, Short Stories, Fantasy",J.K. Rowling,109,$3.99,12/4/2008,3270,16172,76570,117751,146408
Snow Crash,4.03,"Science Fiction, Fiction, Cyberpunk",Neal Stephenson,438,$84.95,8/2/2000,8448,11448,33901,69588,88682
The Education of Little Tree,4.1,"Fiction, Historical Fiction, Young Adult, Historical, Classics",Forrest Carter,228,$14.99,8/31/2001,274,600,2243,4537,5617
Reflected in You,4.32,"Erotica, Contemporary, Adult, Romance, Contemporary Romance, Adult Fiction",Sylvia Day,338,$3.50,10/23/2012,3459,9610,37335,81097,162127
One Thousand White Women: The Journals of May Dodd,3.88,"Historical, Book Club, Fiction, Historical Fiction",Jim Fergus,434,$19.33,2/15/1999,3166,7298,22809,37429,34724
Snow Flower and the Secret Fan,4.07,"Historical Fiction, Historical, Cultural, Asia, Fiction, China",Lisa See,269,$4.33,2/21/2006,3690,12113,60112,127033,116426
The Corrections,3.79,"Fiction, Novels, Contemporary",Jonathan Franzen,653,$6.84,9/2/2002,7229,11900,29673,51073,44603
Among the Hidden,3.97,"Young Adult, Dystopia, Science Fiction, Fiction",Margaret Peterson Haddix,153,$4.25,6/1/2006,1806,5675,23524,36313,37652
Definitely Dead,4.02,"Mystery, Urban Fantasy, Paranormal, Vampires, Romance, Fiction, Fantasy",Charlaine Harris,342,$8.81,3/27/2007,1065,6361,41538,69501,61238
The Lucky One,4.11,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Nicholas Sparks,326,$9.63,8/11/2009,3979,12550,58363,103130,129881
Howl and Other Poems,4.14,"Fiction, Classics, Poetry",Allen Ginsberg,56,$375.00,1/1/2001,1878,3729,13738,27038,38402
A Song of Ice and Fire,4.64,"Fantasy, Fiction",George R.R. Martin,5216,$29.67,7/22/2011,232,412,2173,9395,31561
The Silmarillion,3.91,"Fiction, Classics, Fantasy",J.R.R. Tolkien,386,$81.87,11/15/2004,5429,14886,40965,55553,70025
